
SENDERID,RECIPIENT_ID,MESSAGE_TYPE,VERSION_NUMBER,MESSAGE_REFERENCE,TIME_STAMP,SUBMISSION_TYPE,DATARETRIEVAL_DATE,TRUSTEE_APPROVAL_NUMBER,GENERALPARTICULARS_REMARKS,MPFAREFNO,PARTICIPATIONNO,DEFAULTERNAME_EN,DEFAULTERNAME_CH,DEFAULTERCONTACTPERSON_EN,DEFAULTERCONTACTPERSON_CH,AUTHORIZEDPERSON,PHONENOREGIONALCODE,PHONENOAREACODE,PHONENO,FAXNOREGIONALCODE,FAXNOAREACODE,FAXNO,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,EMAIL,SCHEMEREGISTRATIONNO,SUBSCHEMENUMBER,SUBSCHEMESERVICEOFFICERNAME,SUBSCHEMESERVICEOFFICERPHONE,INDUSTRYTYPE,UNTRACEABLEDEFAULTER,CHANGEOFDEFAULTERNAME,ORIGINALDEFAULTERNAME_EN,ORIGINALDEFAULTERNAME_CH,NOOFENROLLEDMEMBERS,SCHEMEEFFECTIVEDATE,SCHEMETERMINATIONDATE,REMARKS,HKIDNUMBER,CHECKDIGIT,LASTNAME_EN,FIRSTNAME_EN,LASTNAME_CH,FIRSTNAME_CH,DATEOFBIRTH,MOBILENO,PHONENO,MEM_ADDRESS1,MEM_ADDRESS2,MEM_ADDRESS3,MEM_ADDRESS4,MEM_ADDRESS5,NATUREOFEMPLOYMENT,EMPLOYMENTSTARTDATE,LASTEMPLOYMENTDATE,INTRAGROUPTRANSFER,LATEENROLLEDMEMBER,ENROLLMENTPROCESSINGDATE,MEM_REMARKS,PERIODSTARTDATE,PERIODENDDATE,RELEVANTINCOME,RELEVANTINCOMEREF,ONTIMEMCPAID_ERSEP_AMOUNT,ONTIMEMCPAID_EE_AMOUNT,ONTIMEMCPAIDDATE,LATEMCPAID_ERSEP_AMOUNT,LATEMCPAID_EE_AMOUNT,LATEMCPAIDDATE,SURCHARGEPAID_ERSEP_AMOUNT,SURCHARGEPAID_EE_AMOUNT,SURCHARGEPAIDDATE,FREQUENCY,DCREASON,ISUNIQUEREFNO,ISNODAYS,ISDATERANGEFROM,ISDATERANGETO,CONTRI_REMARKS
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR7680132332,NTXELD AXEXPFOU,PHNNQAM,TXEOQGKRVCBKH , ,,,,20000000,,,20000000,AVGKATQQQ,RCJMZGBDTSHPXAG,KJC,,,UTN@BESTSERVE.COM,ES00020,8728,,,99,N,,,,4215,2006-10-19,,8728,G368698,0,XDO,NP AXT,MQ,M,1986-01-09,60000000,,VWRZPLTUSENDEKXQK,AMGJHTLWJMRFH,GKMWMYMYEVA,,,REGEE,2009-03-01,,Y,N,2009-04-30,,2018-03-01,2018-03-31,18590.20,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,C479315,1,MJAN,MJ XZRAFI PXRP,DY,L,1974-07-06,90000000,,ISRKPFI,JLVZCJEUBAQPV,NCQNQDURCYA,BINWVRJCA,,REGEE,2007-11-01,,Y,N,2007-12-28,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,T841545,A,MJAFB,XMBAR ZX,DC,H,1964-11-12,90000000,,PNCJEIIMEN,SKYBRYCSKZRAOZQJJB,NVBGSHXSCKXTGCWHT,EXPUWBHVG,,REGEE,2008-07-11,,Y,N,2008-09-29,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,W628570,0,NEV,VTTLM AZB,QM,X,1970-05-04,90000000,,BXRIWRNICEEYMUPDNVTXEYU,OVMMAKMPMNOL,HWNJMTNOXWUKDT,,,REGEE,1998-06-01,,N,N,2000-12-08,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,C418825,8,LVBA,XR ZMDAXB,VI,D,1960-08-14,60000000,,ETXYTRHTIVBPRZFDIR,HMUMMAFWDBBIZJXGRNY,BMSPBWCIYIAK,,,REGEE,2015-07-02,,Y,N,2015-09-02,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,O424720,6,ZEX,MJ XNVX,,,1958-12-01,90000000,,AITSLZTBPCTEZNJDDJ,PPUHTBOHHPKG,KYONWRSKRSXQX,NY,,REGEE,1992-03-02,,N,N,2000-12-08,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,X073748,3,ZV,MJ XNPA,JZ,P,1977-10-27,90000000,,IDHMCFGUC,QSTWRWGDIWWS,UNRCPARCYTGPM,ZHEAYXVMIOE,,REGEE,2006-11-13,,Y,N,2007-01-25,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,C728640,4,FEAZB,ZRAFD NMA,AL,M,1976-07-11,90000000,,EMBOMEZRQ,EDYEBBJHOAUNH,PURWKZDYVGOZBEWMF,UELSKLPRTFTOS,,REGEE,2006-05-24,,Y,N,2006-07-28,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,X939356,6,FRAZB,NV XXRW,JA,S,1973-07-27,90000000,,KZPTZCBKMK,XXIAIWLEVIDOIMH,ASOCDAWEJDH,RWCZAAZGO,,REGEE,2008-11-17,,Y,N,2009-01-29,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,O433304,8,NOP,NTP AN,WO,Y,1974-10-15,90000000,,BQQGQBBNUCQXVHASVWQ,HLKJJUJTYBPPIVPJITW,VQZXWAAKAILV,JBOEKSJTOBANTMB,,REGEE,2005-07-22,,Y,N,2005-09-26,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,O480776,7,NPA,NE XXEBA,CM,R,1975-11-15,90000000,,DIZBZDJXYVZGNIJLNCVW,LFWAQRXJIICU,EZKEUDTLDHUMSOGNAE,JALATDIGURII,,REGEE,2006-07-17,,Y,N,2006-09-27,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,C208548,6,NVA,NTP AX BNUAAR,TH,E,1968-08-28,60000000,,WTXKCIWJZXVMVRXATW,OIBTNXZGWTIZ,YCXBATKZSKJSBCFT,,,REGEE,2006-08-10,,Y,N,2006-10-26,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
DEX,MPFA,OSDC,3.1,DEXSK2000041,20180418000000,NEWD,2018-04-18,TC00138,,,BR88798522824,ZDFAXKXDALD WZSFF OBJFAMELBL RFDKSJXDFE UO,,DOURTMTCQVCZBCE , ,,,,20000000,,,20000000,FBOGAENPVCVFGSSLKYHWYQHSLLWCKVZHXGZYRFUMCTWUVOBWZY,IU,,,,BHGB@BESTSERVE.COM,ES00020,850427SST,,,99,N,,,,4215,2000-12-27,,850427SST,H645743,8,ZN,NTA AXB,MT,A,1978-06-17,90000000,,HYYZNAASXVNFQIYSS,CYRKLHJOOHMFJT,OVMJLDRNERJ,,,REGEE,2011-10-18,,Y,N,2011-12-30,,2018-03-01,2018-03-31,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,CDMTH,NOPAY,,,,,
